Site,Date,Quadrant,ID,Species,Distance,BasalDiameter,CrownDiameter,Height,StemCount
US-SRG,5/28/2025,SW,118,MES,97.05,15,7.5,6.4,
US-SRG,5/28/2025,SW,118,,,,6,,
US-SRG,5/28/2025,SW,119,MES,90.73,5.1,2.5,2,
US-SRG,5/28/2025,SW,119,,,,3,,
US-SRG,5/28/2025,SW,120,MES,7.89,15.6,2.8,4,
US-SRG,5/28/2025,SW,120,,,,3.5,,
US-SRG,5/28/2025,SW,121,MES,13.65,4.2,3.8,3.5,
US-SRG,5/28/2025,SW,121,,,4.2,3.3,,
US-SRG,5/28/2025,SW,121,,,3.8,,,
US-SRG,5/28/2025,SW,121,,,5,,,
US-SRG,5/28/2025,SW,121,,,5.8,,,
US-SRG,5/28/2025,SW,122,MES,20.52,4.8,3.3,2.8,
US-SRG,5/28/2025,SW,122,,,5,4,,
US-SRG,5/28/2025,SW,122,,,4.2,,,
US-SRG,5/28/2025,SW,122,,,3.2,,,
US-SRG,5/28/2025,SW,122,,,3.9,,,
US-SRG,5/28/2025,SW,123,GTN,34.05,11,2.5,2.6,
US-SRG,5/28/2025,SW,123,,,,3,,
US-SRG,5/28/2025,SW,124,BRTB,35,0.5,0.7,0.7,
US-SRG,5/28/2025,SW,124,,,,0.6,,
US-SRG,5/28/2025,SW,125,CHO,43.78,6,0.9,0.77,
US-SRG,5/28/2025,SW,125,,,,0.8,,
US-SRG,5/28/2025,SW,126,MES,46.87,3.8,3,3.6,
US-SRG,5/28/2025,SW,126,,,2.1,3.6,,
US-SRG,5/28/2025,SW,126,,,2.3,,,
US-SRG,5/28/2025,SW,126,,,2.4,,,
US-SRG,5/28/2025,SW,126,,,4.1,,,
US-SRG,5/28/2025,SW,126,,,3.7,,,
US-SRG,5/28/2025,SW,127,CHO,57.11,0.4,0.64,0.3,
US-SRG,5/28/2025,SW,127,,,,0.73,,
US-SRG,5/28/2025,SW,128,MES,50.22,7,3.8,4.7,
US-SRG,5/28/2025,SW,128,,,,3.6,,
US-SRG,5/28/2025,SW,129,MES,63.47,5.4,5,4.3,
US-SRG,5/28/2025,SW,129,,,,5.2,,
US-SRG,5/28/2025,SW,130,CHO,63.31,1,0.09,0.24,
US-SRG,5/28/2025,SW,130,,,,0.01,,
US-SRG,5/28/2025,SW,131,MES,64.8,11.2,2.7,,
US-SRG,5/28/2025,SW,131,,,,2.5,3.6,
US-SRG,5/28/2025,SW,132,HYSL,67.73,1.5,1.5,1.5,
US-SRG,5/28/2025,SW,132,,,,0.9,,
US-SRG,5/28/2025,SW,133,GTN,84.48,12,3,3.6,
US-SRG,5/28/2025,SW,133,,,,2.5,,
US-SRG,5/28/2025,SW,134,GTN,85.71,17,2,4.9,
US-SRG,5/28/2025,SW,134,,,,4.5,,
US-SRG,5/28/2025,SW,135,GTN,87.81,4,2.8,1.6,
US-SRG,5/28/2025,SW,135,,,,1.8,,
US-SRG,5/28/2025,SW,136,GTN,86.74,6,2.4,4.5,
US-SRG,5/28/2025,SW,136,,,,2.4,,
US-SRG,5/28/2025,SW,137,MES,89.44,6,3.6,4.2,
US-SRG,5/28/2025,SW,137,,,6,4.8,,
US-SRG,5/28/2025,SW,137,,,4,,,
US-SRG,5/28/2025,SW,138,WTA,84.01,2,1.35,1.6,
US-SRG,5/28/2025,SW,138,,,,1.6,,
US-SRG,5/28/2025,SW,139,GTN,84.09,3,0.9,1.4,
US-SRG,5/28/2025,SW,139,,,,0.8,,
US-SRG,5/28/2025,SW,140,GTN,84.59,11,1.45,3.5,
US-SRG,5/28/2025,SW,140,,,,1.3,,
US-SRG,5/28/2025,SW,141,GTN,84.29,2,0.8,1.4,
US-SRG,5/28/2025,SW,141,,,,0.7,,
US-SRG,5/28/2025,SW,142,GTN,84,3,1.3,1.6,
US-SRG,5/28/2025,SW,142,,,,5.9,,
US-SRG,5/28/2025,SW,143,GTN,84.6,1.5,0.6,1,
US-SRG,5/28/2025,SW,143,,,,0.4,,
US-SRG,5/28/2025,SW,144,MES,84.6,6.4,3,3.54,
US-SRG,5/28/2025,SW,144,,,,3.2,,
US-SRG,5/28/2025,SW,145,UNK,96.44,1.3,2.6,1.6,
US-SRG,5/28/2025,SW,145,,,,2.1,,
US-SRG,5/28/2025,SW,146,MES,99.88,2.4,0.7,1.4,
US-SRG,5/28/2025,SW,146,,,,0.35,,
US-SRG,5/28/2025,SW,147,MES,9.9,21,4,3.6,
US-SRG,5/28/2025,SW,147,,,,3.8,,
US-SRG,5/28/2025,SW,148,MES,26.29,9.2,7.3,6.7,
US-SRG,5/28/2025,SW,148,,,,6.2,,
US-SRG,5/28/2025,SW,149,MES,42.6,5.7,3.7,3.5,
US-SRG,5/28/2025,SW,149,,,4.8,3.8,,
US-SRG,5/28/2025,SW,149,,,3.1,,,
US-SRG,5/28/2025,SW,149,,,3.4,,,
US-SRG,5/28/2025,SW,150,MES,46.05,2.1,2,1.7,
US-SRG,5/28/2025,SW,150,,,1.6,1.7,,
US-SRG,5/28/2025,SW,150,,,2.5,,,
US-SRG,5/28/2025,SW,151,MES,53.42,3.6,2.5,2.3,
US-SRG,5/28/2025,SW,151,,,3.4,3.2,,
US-SRG,5/28/2025,SW,151,,,2.5,,,
US-SRG,5/28/2025,SW,151,,,7,,,
US-SRG,5/28/2025,SW,152,MES,55.8,3.6,1.8,1.1,
US-SRG,5/28/2025,SW,152,,,1.6,1.4,,
US-SRG,5/28/2025,SW,153,MES,57.2,18,6,4.4,
US-SRG,5/28/2025,SW,153,,,15,5,,
US-SRG,5/28/2025,SW,154,MES,57.73,4.4,2.2,1.7,
US-SRG,5/28/2025,SW,154,,,2.4,1.2,,
US-SRG,5/28/2025,SW,155,MES,53.6,25,5.5,4.7,
US-SRG,5/28/2025,SW,155,,,,7,,
US-SRG,5/28/2025,SW,156,MES,39.04,4.6,2.6,2.2,
US-SRG,5/28/2025,SW,156,,,,2.2,,
US-SRG,5/28/2025,SW,157,CHO,48.68,1.5,0.4,0.68,
US-SRG,5/28/2025,SW,157,,,,0.6,,
US-SRG,5/28/2025,SW,158,MES,50.88,21,5,5.5,
US-SRG,5/28/2025,SW,158,,,,7,,
US-SRG,5/28/2025,SW,159,MES,51.54,2.5,2.5,2,
US-SRG,5/28/2025,SW,159,,,3.1,2,,
US-SRG,5/28/2025,SW,160,BRTB,47.17,0.4,0.4,0.5,
US-SRG,5/28/2025,SW,160,,,,0.47,,
US-SRG,5/28/2025,SW,161,GTN,85.34,2,1.5,1.6,
US-SRG,5/28/2025,SW,161,,,,1.4,,
US-SRG,5/28/2025,SW,162,GTN,85.34,1.1,1.8,1.4,
US-SRG,5/28/2025,SW,162,,,,1.9,,
US-SRG,5/28/2025,SW,163,MES,84.34,4.63,2.4,2.51,
US-SRG,5/28/2025,SW,163,,,3.5,2.8,,
US-SRG,5/28/2025,SW,164,GTN,86.7,2.5,2.3,1.8,
US-SRG,5/28/2025,SW,164,,,,2,,
US-SRG,5/28/2025,SW,165,GTN,86.5,2.5,2.6,2.3,
US-SRG,5/28/2025,SW,165,,,,2,,
US-SRG,5/28/2025,SW,166,MES,91.27,12,3.8,3.5,
US-SRG,5/28/2025,SW,166,,,,4,,
US-SRG,5/28/2025,SW,167,CHO,84.68,3,0.6,0.9,
US-SRG,5/28/2025,SW,167,,,,0.5,,
US-SRG,5/28/2025,SW,168,MES,87.02,11,4,3.7,
US-SRG,5/28/2025,SW,168,,,,4,,
US-SRG,5/28/2025,SW,169,MES,7.81,5.7,3.8,4.2,
US-SRG,5/28/2025,SW,169,,,,3.3,,
US-SRG,5/28/2025,SW,170,MES,23.8,22,5.6,5.3,
US-SRG,5/28/2025,SW,170,,,,4.1,,
US-SRG,5/28/2025,SW,171,MES,27.37,21.18,5.8,6.7,
US-SRG,5/28/2025,SW,171,,,,8.8,,
US-SRG,5/28/2025,SW,172,MES,30.11,2.3,1.7,1.3,
US-SRG,5/28/2025,SW,172,,,2.4,1.1,,
US-SRG,5/28/2025,SW,173,MES,29.48,4.2,2.1,2,
US-SRG,5/28/2025,SW,173,,,3.4,2,,
US-SRG,5/28/2025,SW,174,MES,33.1,28,6.4,6,
US-SRG,5/28/2025,SW,174,,,,6.2,,
US-SRG,5/28/2025,SW,175,MES,38.5,19,3.7,6.2,
US-SRG,5/28/2025,SW,175,,,,6,,
US-SRG,5/28/2025,SW,176,MES,38.5,4.7,3,2.7,
US-SRG,5/28/2025,SW,176,,,5.9,3.5,,
US-SRG,5/28/2025,SW,177,MES,58.78,21.14,4.8,5.5,
US-SRG,5/28/2025,SW,177,,,,5.5,,
US-SRG,5/28/2025,SW,178,MES,56.49,2.8,2.3,2.9,
US-SRG,5/28/2025,SW,178,,,4.3,2.4,,
US-SRG,5/28/2025,SW,179,MES,57,4.1,2.6,2.4,
US-SRG,5/28/2025,SW,179,,,4,2.5,,
US-SRG,5/28/2025,SW,179,,,2.6,,,
US-SRG,5/28/2025,SW,180,MES,56.5,34,7.3,6.4,
US-SRG,5/28/2025,SW,180,,,,7.5,,
US-SRG,5/28/2025,SW,181,CHO,52.3,3,0.3,0.65,
US-SRG,5/28/2025,SW,181,,,,0.4,,
US-SRG,5/28/2025,SW,182,MES,54,15,5.8,5.8,
US-SRG,5/28/2025,SW,182,,,,5,,
US-SRG,5/28/2025,SW,183,MES,62.3,5.3,4,3.4,
US-SRG,5/28/2025,SW,183,,,2.1,4.2,,
US-SRG,5/28/2025,SW,184,MES,60.2,10,3.2,3,
US-SRG,5/28/2025,SW,184,,,2.1,3,,
US-SRG,5/28/2025,SW,184,,,1.5,,,
US-SRG,5/28/2025,SW,185,MES,61.45,1,1,1.6,
US-SRG,5/28/2025,SW,185,,,0.7,1.2,,
US-SRG,5/28/2025,SW,186,CHO,61.45,2,0.2,0.4,
US-SRG,5/28/2025,SW,186,,,,0.4,,
US-SRG,5/28/2025,SW,187,MES,59.9,11,4.9,3.4,
US-SRG,5/28/2025,SW,187,,,17,4.2,,
US-SRG,5/28/2025,SW,188,MES,61.6,7,2.6,3.7,
US-SRG,5/28/2025,SW,188,,,3.6,3.1,,
US-SRG,5/28/2025,SW,189,MES,62.1,5.3,1.9,2.7,
US-SRG,5/28/2025,SW,189,,,5.7,1.6,,
US-SRG,5/28/2025,SW,190,MES,67.2,16,4,3.7,
US-SRG,5/28/2025,SW,190,,,,4,,
US-SRG,5/28/2025,SW,191,MES,67.5,3.6,2,2.1,
US-SRG,5/28/2025,SW,191,,,3.9,1.8,,
US-SRG,5/28/2025,SW,191,,,1.7,,,
US-SRG,5/28/2025,SW,192,MES,67.84,3.8,1.8,1.7,
US-SRG,5/28/2025,SW,192,,,2.3,2,,
US-SRG,5/28/2025,SW,192,,,1.4,,,
US-SRG,5/28/2025,SW,193,MES,70.4,3.6,4,2.6,
US-SRG,5/28/2025,SW,193,,,2.5,2.8,,
US-SRG,5/28/2025,SW,193,,,3.6,,,
US-SRG,5/28/2025,SW,193,,,2.7,,,
US-SRG,5/28/2025,SW,194,MES,69.4,4.1,2,2.6,
US-SRG,5/28/2025,SW,194,,,3,2.3,,
US-SRG,5/28/2025,SW,194,,,3.5,,,
US-SRG,5/28/2025,SW,194,,,3.1,,,
US-SRG,5/28/2025,SW,194,,,1.6,,,
US-SRG,5/28/2025,SW,195,MES,71,18,3.8,4.7,
US-SRG,5/28/2025,SW,195,,,,5,,
US-SRG,5/28/2025,SW,196,MES,70.2,9.7,2.8,3.7,
US-SRG,5/28/2025,SW,196,,,,2.8,,
US-SRG,5/28/2025,SW,197,MES,70.3,11,3.3,3.5,
